brand,video_id,video_title,channel,published_at,view_count,comment_count,text,flagged_signals,type
GT's Living Foods,w4jDx6Wenjw,World’s WORST Tasting Tuna,Max the Meat Guy,2025-02-10T22:51:54Z,4939289,1942,"No bad fiish, just bad cooking methods.",,comment
GT's Living Foods,w4jDx6Wenjw,World’s WORST Tasting Tuna,Max the Meat Guy,2025-02-10T22:51:54Z,4939289,1942,"i feel like a few of your videos have made people say ""you didn't prepare it right"" countless of times, yet I don't think you've learned your lesson at all.",,comment
GT's Living Foods,w4jDx6Wenjw,World’s WORST Tasting Tuna,Max the Meat Guy,2025-02-10T22:51:54Z,4939289,1942,that fish died for nothing,,comment
GT's Living Foods,w4jDx6Wenjw,World’s WORST Tasting Tuna,Max the Meat Guy,2025-02-10T22:51:54Z,4939289,1942,Bro picked the worst way to dry-age a fish and said it tastes bad; I'm frickin shocked,worst,comment
GT's Living Foods,w4jDx6Wenjw,World’s WORST Tasting Tuna,Max the Meat Guy,2025-02-10T22:51:54Z,4939289,1942,"Food creators are getting really lazy with their research. First Guga puts powdered sugar on an Aussie meat pie, and now Max wasted expensive wasabi on a fish he should have bled for it to taste fine.",expensive|sugar,comment
GT's Living Foods,w4jDx6Wenjw,World’s WORST Tasting Tuna,Max the Meat Guy,2025-02-10T22:51:54Z,4939289,1942,World's WORST tuna preparation.,worst,comment
GT's Living Foods,w4jDx6Wenjw,World’s WORST Tasting Tuna,Max the Meat Guy,2025-02-10T22:51:54Z,4939289,1942,Max showing his ignorance again.,,comment
GT's Living Foods,w4jDx6Wenjw,World’s WORST Tasting Tuna,Max the Meat Guy,2025-02-10T22:51:54Z,4939289,1942,"“Worst tasting tuna” ❌
“Americans not knowing how to eat it” ✅",worst,comment
GT's Living Foods,w4jDx6Wenjw,World’s WORST Tasting Tuna,Max the Meat Guy,2025-02-10T22:51:54Z,4939289,1942,"What do you mean wort tasting tuna??? We eat in in Spain all the time! I swear, you all just need to learn to cook.",,comment
GT's Living Foods,w4jDx6Wenjw,World’s WORST Tasting Tuna,Max the Meat Guy,2025-02-10T22:51:54Z,4939289,1942,Bro wasted all that Wassabi 💀,,comment
GT's Living Foods,w4jDx6Wenjw,World’s WORST Tasting Tuna,Max the Meat Guy,2025-02-10T22:51:54Z,4939289,1942,The fish is good when drained quickly and thrown in the ice properly. Very versatile with different ways to cooking.,,comment
GT's Living Foods,w4jDx6Wenjw,World’s WORST Tasting Tuna,Max the Meat Guy,2025-02-10T22:51:54Z,4939289,1942,"“How much wasabi do you want?”
Max: “yes”",,comment
GT's Living Foods,w4jDx6Wenjw,World’s WORST Tasting Tuna,Max the Meat Guy,2025-02-10T22:51:54Z,4939289,1942,World’s WORST Tasting Tuna,,video_title
GT's Living Foods,VL4TfEPtmkE,I Tested Waffle House After Midnight,Addie Bowley,2025-07-13T19:00:24Z,10475543,1259,"He forgot the mandatory step that you have to be impaired in some way, shape, or form when you enter after midnight.",,comment
GT's Living Foods,VL4TfEPtmkE,I Tested Waffle House After Midnight,Addie Bowley,2025-07-13T19:00:24Z,10475543,1259,"one time, i went to waffle house at like 2 am and ordered biscuits and gravy. i sat for an hour; everyone else got their food. i finally asked what was going on, and i kid you not, the kid taking orders says “the reasons you MAY not have gotten your biscuits and gravy is because we ran out of biscuits.” incredible experience",,comment
GT's Living Foods,VL4TfEPtmkE,I Tested Waffle House After Midnight,Addie Bowley,2025-07-13T19:00:24Z,10475543,1259,"That ""hits different"" was magical 🔥",,comment
GT's Living Foods,VL4TfEPtmkE,I Tested Waffle House After Midnight,Addie Bowley,2025-07-13T19:00:24Z,10475543,1259,I have simultaneously had the best dining experience and worst dining experience at Waffle House.,best|worst,comment
GT's Living Foods,VL4TfEPtmkE,I Tested Waffle House After Midnight,Addie Bowley,2025-07-13T19:00:24Z,10475543,1259,"""Hits different"" Hits different!",,comment
GT's Living Foods,VL4TfEPtmkE,I Tested Waffle House After Midnight,Addie Bowley,2025-07-13T19:00:24Z,10475543,1259,“”Hits Different” HITS DIFFERENT 🔥🔥🔥🔥🔥” HITS DIFFERENT 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,,comment
GT's Living Foods,VL4TfEPtmkE,I Tested Waffle House After Midnight,Addie Bowley,2025-07-13T19:00:24Z,10475543,1259,Addie looking at the cop car got me dying 💀,,comment
GT's Living Foods,VL4TfEPtmkE,I Tested Waffle House After Midnight,Addie Bowley,2025-07-13T19:00:24Z,10475543,1259,That “hits different” shot meant pure business 🤝,,comment
GT's Living Foods,VL4TfEPtmkE,I Tested Waffle House After Midnight,Addie Bowley,2025-07-13T19:00:24Z,10475543,1259,“If it hits different” says that while looking like a taste tester 😭,,comment
GT's Living Foods,VL4TfEPtmkE,I Tested Waffle House After Midnight,Addie Bowley,2025-07-13T19:00:24Z,10475543,1259,The timer had played these games before 😱😱,,comment
